url,name,sku,brand,gtin13,description,product_id,availability,currency,price,avg_rating,reviews_count,uniq_id,scraped_at
https://www.petsmart.com/dog/clothing-and-shoes/jerseys-and-team-sports/arizona-diamondbacks-mlb-team-tee-36807.html,Arizona Diamondbacks MLB Team Tee,5252459,Pets First,0849790020108,Arizona Diamondbacks MLB Team Tee,5252459,InStock,USD,19.99,,0,bcd2fbdf-373d-51e2-b6dd-fe3a04353777,30/07/2022 12:09:29
https://www.petsmart.com/fish/decor-gravel-and-substrate/artificial-plants/biorb-artificial-aquarium-sea-fan---8-47519.html,biOrb Artificial Aquarium Sea Fan - 8&quot;,5275826,biOrb,0822728005309,biOrb Artificial Aquarium Sea Fan - 8&quot;,5275826,InStock,USD,16.99,,0,0e0cd2d8-5f1c-51c6-a9dd-c89c68f0e566,30/07/2022 12:09:30
https://www.petsmart.com/dog/beds-and-furniture/ramps-and-steps/top-paw-deluxe-telescoping-pet-ramp-7501.html,Top Paw&reg; Deluxe Telescoping Pet Ramp,5152514,Top Paw,0737257228191,Top Paw&reg; Deluxe Telescoping Pet Ramp,5152514,InStock,USD,179.99,3.9516,62,1ce15a7d-e33e-5c6b-b02d-61722524c6f0,30/07/2022 12:09:31
https://www.petsmart.com/dog/collars-harnesses-and-leashes/harnesses/kong-double-handle-vest-dog-harness-69099.html,KONG&reg; Double Handle Vest Dog Harness,5323730,KONG,0737257980075,KONG&reg; Double Handle Vest Dog Harness,5323730,OutOfStock,USD,44.99,,0,117d1d73-f1af-57cb-bc3e-c8665e86141e,30/07/2022 12:09:31
https://www.petsmart.com/cat/collars-harnesses-and-leashes/collars/whisker-city-reflective-stripe-cat-collar-42892.html,Whisker City&reg; Reflective Stripe Cat Collar,5265493,Whisker City,0737257932197,Whisker City&reg; Reflective Stripe Cat Collar,5265493,OutOfStock,USD,5.07,3.3077,13,27d27aa6-08af-50f6-9473-53160cb22c80,30/07/2022 12:09:32
https://www.petsmart.com/dog/food/dry-food/purina-one-%2Bplus-puppy-dog-dry-food---chicken-natural-high-protein-3507.html,"Purina ONE&reg; +Plus Puppy Dog Dry Food - Chicken, Natural, High-Protein",5180506,Purina ONE,0017800149358,"Purina ONE&reg; +Plus Puppy Dog Dry Food - Chicken, Natural, High-Protein",5180506,InStock,USD,28.99,4.7675,271,94ad38bb-0f01-58ac-961c-a991f4eb8e6c,30/07/2022 12:09:32
https://www.petsmart.com/cat/food-and-treats/dry-food/blue-buffalo-wildernessandtrade--all-life-stages-dry-cat-food---grain-free-beef-69330.html,"Blue Buffalo&reg; Wilderness&amp;trade;  All Life Stages Dry Cat Food - Grain Free, Beef",5323134,Blue Buffalo,0840243101764,"Blue Buffalo&reg; Wilderness&amp;trade;  All Life Stages Dry Cat Food - Grain Free, Beef",5323134,InStock,USD,30.98,4.0,1,f7818bda-60a8-5c6e-9909-658f56e4f18d,30/07/2022 12:09:32
https://www.petsmart.com/dog/clothing-and-shoes/jerseys-and-team-sports/florida-gators-ncaa-jersey-23335.html,Florida Gators NCAA Jersey,5217859,Pets First,0849790033962,Florida Gators NCAA Jersey,5217859,InStock,USD,26.99,,0,abf01c56-f826-5111-8e76-38e8f276eb2f,30/07/2022 12:09:33
https://www.petsmart.com/dog/beds-and-furniture/cuddler-beds/top-paw-faux-fur-snuggler-dog-bed-60247.html,Top Paw&reg; Faux Fur Snuggler Dog Bed,5302897,Top Paw,0737257939738,Top Paw&reg; Faux Fur Snuggler Dog Bed,5302897,InStock,USD,29.99,4.6897,29,79fd0ae2-9b68-5505-a5f0-2b04aa69f78d,30/07/2022 12:09:33
https://www.petsmart.com/fish/decor-gravel-and-substrate/artificial-plants/biorb-artificial-aquarium-sea-fan---15.5-73911.html,biOrb Artificial Aquarium Sea Fan - 15.5&quot;,5334239,biOrb,0822728005347,biOrb Artificial Aquarium Sea Fan - 15.5&quot;,5334239,InStock,USD,20.99,,0,8b6c4203-7246-5ab6-8ab0-a77d5361ace7,30/07/2022 12:09:33
https://www.petsmart.com/dog/collars-harnesses-and-leashes/collars/los-angeles-angels-mlb-dog-collar-36191.html,Los Angeles Angels MLB Dog Collar,5271011,Pets First,0849790068261,Los Angeles Angels MLB Dog Collar,5271011,InStock,USD,15.99,,0,8f3d147d-b370-5359-aa78-647649201648,30/07/2022 12:09:34
https://www.petsmart.com/dog/collars-harnesses-and-leashes/id-tags/tagworks-red-bone-personalized-pet-id-tag-59230.html,TagWorks&reg; Red Bone Personalized Pet ID Tag,5300853,TagWorks,0736511005479,TagWorks&reg; Red Bone Personalized Pet ID Tag,5300853,InStock,USD,9.99,4.8293,41,9437a497-768c-5553-adaf-db0222f0a454,30/07/2022 12:09:35
https://www.petsmart.com/fish/live-fish/goldfish-betta-and-more/chocolate-shrimp-70101.html,Chocolate Shrimp,5324063,null,0737257981256,Chocolate Shrimp,5324063,OutOfStock,USD,4.99,4.5,2,9afe0142-d97f-5ce5-9f90-88a235dd1d97,30/07/2022 12:09:35
https://www.petsmart.com/cat/collars-harnesses-and-leashes/collars/made-by-cleo-snow-cone-plaid-cat-bow-tie-73439.html,Made By Cleo&reg; Snow Cone Plaid Cat Bow Tie,5333552,Made By Cleo,0616943692372,Made By Cleo&reg; Snow Cone Plaid Cat Bow Tie,5333552,InStock,USD,10.99,,0,86d99ea2-c3cf-53f1-84b1-6004207b903a,30/07/2022 12:09:35
https://www.petsmart.com/cat/cleaning-and-repellents/stain-and-odor-removers/natures-miracle-just-for-cats-advanced-stain-and-odor-remover-47029.html,Nature's Miracle&reg; Just for Cats Advanced Stain &amp; Odor Remover,5268776,Nature's Miracle,0018065969927,Nature's Miracle&reg; Just for Cats Advanced Stain &amp; Odor Remover,5268776,InStock,USD,17.99,2.3333,30,8c352fdd-be58-5942-8480-a609460dc5f7,30/07/2022 12:09:35
https://www.petsmart.com/pharmacy/dog/skin-and-coat-care/muricin-topical-ointment-2%25-15-g-67055.html,"Muricin Topical Ointment 2%, 15 g",5317302,Muricin,3170334201576,"Muricin Topical Ointment 2%, 15 g",5317302,InStock,USD,17.09,,0,6ac1de90-2d16-5f97-ba22-680e73379206,30/07/2022 12:09:35
